,Stn_Code,Stn_Name,Coords,Golf,Tennis,Nursery,Music_School,Veterinarian,Medical Center
0,  SBK01 , Sungai Buloh," 3.20611, 101.58028 ",6,2,6,2,3,91
1,  SBK04 , Kwasa Damansara," 3.176472, 101.572556",1,2,1,1,3,44
2,  SBK05A , Teknologi," 3.1611833, 101.568194",10,2,1,2,3,75
