,Stn_Code,Stn_Name,Coords,Golf,Tennis,Nursery,Music_School,Veterinarian,Medical Center
0,  SBK01 , Sungai Buloh," 3.20611, 101.58028 ",2,2,1,1,1,6
1,  SBK04 , Kwasa Damansara," 3.176472, 101.572556",1,0,3,0,1,11
2,  SBK05A , Teknologi," 3.1611833, 101.568194",0,0,0,0,0,0
