,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId
0,"[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",False,50284ca4e4b0f66ff93f24da,No. 27-G,MY,Bandar Sungai Buloh,Malaysia,"Jalan Nautika C U20/C, Pusat Komersial TSB",971,"['No. 27-G (Jalan Nautika C U20/C, Pusat Komersial TSB)', '40160 Bandar Sungai Buloh, Selangor', 'Malaysia']","[{'label': 'display', 'lat': 3.209987089998749, 'lng': 101.5724450139132}]",3.209987089998749,101.5724450139132,40160,Selangor,ATZ Consult Sdn Bhd,v-1598492999
1,"[{'id': '52e81612bcbc57f1066b7a46', 'name': 'Private School', 'pluralName': 'Private Schools', 'shortName': 'Private School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/default_', 'suffix': '.png'}, 'primary': True}]",False,55932ab1498e981344fc1ca7,,MY,,Malaysia,,851,['Malaysia'],"[{'label': 'display', 'lat': 3.2091283798217773, 'lng': 101.5732421875}]",3.2091283798217773,101.5732421875,,,Al-Amin Tropicana Early Childhood Center (AATECC),v-1598492999
2,"[{'id': '4bf58dd8d48988d130941735', 'name': 'Building', 'pluralName': 'Buildings', 'shortName': 'Building', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",False,4da4f0c84df00f31b172cd92,Jln. Kuala Selangor,MY,Sg. Buloh,Malaysia,,1068,"['Jln. Kuala Selangor', '47000 Sg. Buloh, Selangor', 'Malaysia']","[{'label': 'display', 'lat': 3.208682926474752, 'lng': 101.57102259868645}]",3.208682926474752,101.57102259868645,47000,Selangor,TSB Commercial Centre,v-1598492999
3,"[{'id': '4bf58dd8d48988d104941735', 'name': 'Medical Center', 'pluralName': 'Medical Centers', 'shortName': 'Medical', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_', 'suffix': '.png'}, 'primary': True}]",False,4df8551f62847bdf4fec00e0,,MY,,Malaysia,,1032,"['Selangor', 'Malaysia']","[{'label': 'display', 'lat': 3.214885634558031, 'lng': 101.57726937081553}]",3.214885634558031,101.57726937081553,,Selangor,Echo Room Medical Clinic Hospital Sungai Buloh,v-1598492999
4,"[{'id': '4bf58dd8d48988d124951735', 'name': 'Automotive Shop', 'pluralName': 'Automotive Shops', 'shortName': 'Automotive', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/automotive_', 'suffix': '.png'}, 'primary': True}]",False,5677a1a1498e6e41c69193d4,,MY,,Malaysia,,1041,['Malaysia'],"[{'label': 'display', 'lat': 3.209323, 'lng': 101.571483}]",3.209323,101.571483,,,mazda service center TSB,v-1598492999
5,"[{'id': '4bf58dd8d48988d10a951735', 'name': 'Bank', 'pluralName': 'Banks', 'shortName': 'Bank', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/financial_', 'suffix': '.png'}, 'primary': True}]",False,4ed8a05030f83fb79a70d9c7,"A1-47, TSB Commercial Center",MY,Sungai Buloh,Malaysia,Pekan Baru Sungai Buloh,1021,"['A1-47, TSB Commercial Center (Pekan Baru Sungai Buloh)', '40160 Sungai Buloh, Selangor', 'Malaysia']","[{'label': 'display', 'lat': 3.2087733037969226, 'lng': 101.57148345865481}]",3.2087733037969226,101.57148345865481,40160,Selangor,Easy by RHB Bank TSB Commercial Center,v-1598492999
6,"[{'id': '4bf58dd8d48988d1a5941735', 'name': 'College Lab', 'pluralName': 'College Labs', 'shortName': 'Lab', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/lab_', 'suffix': '.png'}, 'primary': True}]",False,53e47aba498e3e1c6a993819,,MY,,Malaysia,,1142,['Malaysia'],"[{'label': 'display', 'lat': 3.213722533841902, 'lng': 101.58717614279797}]",3.213722533841902,101.58717614279797,,,cluster laboratory medical science uitm campus sg buloh,v-1598492999
7,"[{'id': '52e81612bcbc57f1066b7a2e', 'name': 'Sports Club', 'pluralName': 'Sports Clubs', 'shortName': 'Sports Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}, 'primary': True}]",False,5466ca2f498eef23bcd2ba09,,MY,,Malaysia,,1129,['Malaysia'],"[{'label': 'display', 'lat': 3.209559507504737, 'lng': 101.57072276319258}]",3.209559507504737,101.57072276319258,,,Tropicana Sport Center,v-1598492999
